Test,Section,Procedure,ResultatAttendu,Effectue,Commentaires
POST /api/transactions,Serveur,"{
	""client"": ""7A2B20BD-A308-41AC-870A-E2E7B44A59C9"",
	""merchant"": ""100b631a-1464-4dfd-ad5b-2c7e94fa3aa2"",
	""lineItems"" : [
          {
            ""itemId"": ""46BE315B-2988-42A0-A516-7A3385BE888A"",
            ""quantity"": 1.0
          },
          {
            ""itemId"": ""46BE315B-2988-42A0-A516-7A3385BE888A"",
            ""quantity"": 2.0
          },
          {
            ""itemId"": ""46BE315B-2988-42A0-A516-7A3385BE888A"",
            ""quantity"": 3.0
          }
        ]
}","{
    ""id"": ""1730cbd6-229d-45fb-aa1b-3308039c21a6"",
    ""merchant"": ""100b631a-1464-4dfd-ad5b-2c7e94fa3aa2"",
    ""client"": ""7a2b20bd-a308-41ac-870a-e2e7b44a59c9"",
    ""lineItems"": [
        {
            ""id"": ""cdc99bff-85cb-49f9-a085-754725f9680c"",
            ""itemId"": ""46be315b-2988-42a0-a516-7a3385be888a"",
            ""quantity"": 1,
            ""TransactionId"": ""1730cbd6-229d-45fb-aa1b-3308039c21a6"",
            ""updatedAt"": ""2017-11-04T02:27:58.551Z"",
            ""createdAt"": ""2017-11-04T02:27:58.551Z""
        },
        {
            ""id"": ""9c07cd41-4d4e-407d-b9c4-f1721263386a"",
            ""itemId"": ""46be315b-2988-42a0-a516-7a3385be888a"",
            ""quantity"": 2,
            ""TransactionId"": ""1730cbd6-229d-45fb-aa1b-3308039c21a6"",
            ""updatedAt"": ""2017-11-04T02:27:58.552Z"",
            ""createdAt"": ""2017-11-04T02:27:58.552Z""
        },
        {
            ""id"": ""efd465d9-4274-4474-8d36-f057db5daeba"",
            ""itemId"": ""46be315b-2988-42a0-a516-7a3385be888a"",
            ""quantity"": 3,
            ""TransactionId"": ""1730cbd6-229d-45fb-aa1b-3308039c21a6"",
            ""updatedAt"": ""2017-11-04T02:27:58.552Z"",
            ""createdAt"": ""2017-11-04T02:27:58.552Z""
        }
    ],
    ""createdAt"": ""2017-11-04T02:27:58.503Z""
}",checked,
GET /api/zigbee/bridge METHOD 1,Serveur,"Transaction  
{
	“id”: 3 chiffres,
“method”: 1,
“clientId”: 16 char,
	“merchantId”: 4 chiffres,
	“items”: [11, 12, 14],
“qty”: [1, 5, 2]
}
","{
	“Id”: 3 chiffres,
	“status”: False/True,
	“Solde”: int
}",checked,
GET /api/zigbee/bridge METHOD 2,Serveur,"{
“Id”: 3 chiffres,
	“method”: 2,
	“clientId”: 16 char
}","{
	“Id”: 3 chiffres,
	“Solde”: int
}",checked,
GET /api/zigbee/bridge METHOD 3,Serveur,"{
	“Id”: 3 chiffres,
	“method”: 3,
	“clientId”: 16 char,
	“Amount”: 5 chiffres
}","{
	“Id”: 3 chiffres,
	“Status”: False/True,
	“Solde”: int
}",checked,
GET /api/zigbee/bridge METHOD 4,Serveur,"{
	“id”: 3 chiffres
	“method”: 4,
	“merchantId”: 4 chiffres,
	“items”: [11, 12, 14],
“qty”: [1, 5, 2]
}","{
	“Id”: 4 bytes
	“Total”: int
}",checked,
Tester la communication zigbee vers serveur,TCP/IP,Envoyer une requête HTTP Post du pont vers le serveur,Réception de la trame sur le serveur,checked,
Tester la communication serveur vers zigbee,TCP/IP,"Lors de la réception d'un Post sur le serveur, répondre au pont avec une trame",Réception de la trame sur le pont,checked,"Problème avec le serveur Node, mais fonctionne avec python"
Tester la communication client vers serveur,TCP/IP,Envoie d'une trame par zigbee du client,Réception de la trame sur le serveur,checked,
Tester la communication serveur vers client,TCP/IP,Réponse du serveur lors d'un réception de trame du client,Réception de la trame sur le client,checked,
Transmettre les erreurs du serveur vers les noeuds,TCP/IP,Envoyer une trame erronée d'un noeud,Réception d'une trame d'erreur sur le noeud,checked,
Roulement de la MEF,Terminal Paiement,Faire rouler le squelette du code du terminal de paiement  ,Les bons états s'exécutent (confirmé par des printf),checked,
Identification du marchand,Terminal Paiement,"En démarrant le terminal, le marchand doit entrer son identifiant de 4 chiffres sur le clavier",Le terminal associe le bon compte de marchand et une lumière verte s'allume,checked,
Ajout d'un article dans le panier,Terminal Paiement,Le marchand entre 1 article dans le panier,Le terminal affiche le prix de l'article vendu sur l'écran,checked,
Ajout de plus d'un article dans le panier (3),Terminal Paiement,Le marchand entre 3 articles différents dans le panier ,Le terminal affiche le prix total des articles à l'écran,checked,
Paiement d'un panier (avec assez d'argent dans le compte),Terminal Paiement,L'utilisateur présente sa carte RFID ,Le terminal effectue le paiement et affiche l'état du paiement à l'aide de DEL et à l'écran,checked,
Paiement d'un panier (avec solde insuffisant),Terminal Paiement,L'utilisateur présente sa carte RFID ,Le terminal n'effectue pas le paiement et affiche l'état du paiement à l'aide de DEL et à l'écran,,
Effectué une transaction complète,Terminal Paiement,"Le marchand entre son identifiant, il entre des articles dans le panier. Ensuite, l'utilisateur présente sa carte et effectue le paiement. (cas avec assez d'argent dans le compte)",La transaction s'effectue correctement dans la BD,checked,
Roulement de la MEF,Terminal Recharge,Faire rouler le squelette du code du terminal de recharge,Les bons états s'exécutent (confirmé par des printf),checked,
Lecture de la carte RFID,Terminal Recharge,Présenté une carte valide devant le lecture RFID,Le lecture détecte la carte et il associe le bon compte à la carte,checked,
Dépôt d'argent,Terminal Recharge,"Déposé des pièces de monnaie (0.05, 0.10, 0.25, 1 et 2) et voir si le monayeur détecte les bonnes pièces ",Le monyaeur détecte la bonne pièce déposée,checked,
Effectué une recharge,Terminal Recharge,Effectué une recharge dans un compte utilisateur. Avec lecture d'une carte et dépôt d'argent,Le solde de l'utilisateur est mis à jour suite au dépôt d'argent,checked,
